799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799890570001966TAVG  180  f   40  f  -20  f -140  f -680  f -770  f-1260  f -570  f -550  f -300  f -170  f   30  f
799890570001967TAVG   90  f  -20  f  -30  f -130  f -750  f -710  f -640  f -440  f -420  f -280  f -170  f -200  f
799890570001968TAVG   90  f   50  f  -50  f -120  f -530  f -660  f -460  f -600  f -440  f -240  f  -60  f   10  f
799890570001969TAVG   10  f   20  f -200  f -380  f -540  f -960  f -820  f -710  f -360  f -520  f -200  f   60  f
799890570001970TAVG  150  f   60  f -110  f -300  f -640  f -790  f -390  f -630  f -170  f -110  f   10  f   40  f
799890570001971TAVG  130  f   90  f   40  f -120  f -590  f -220  f -430  f -590  f -430  f -110  f  -10  f  -10  f
799890570001972TAVG  100  f   80  f  -60  f -270  f -300  f -700  f -540  f -950  f -420  f -210  f  -90  f  130  f
799890570001973TAVG   30  f  120  f  -10  f -220  f -610  f -940  f -790  f -550  f -590  f -210  f  -50  f   90  f
799890570001974TAVG  160  f  250  f   80  f -330  f -360  f -540  f -490  f -760  f -490  f -190  f  -80  f  130  f
799890570001975TAVG  130  f   90  f   60  f -150  f -460  f -680  f-1060  f -970  f -480  f -120  f -110  f   50  f
799890570001976TAVG   80  f  180  f   60  f    0  f -280  f -490  f-1020  f -900  f -680  f -290  f  -60  f    0  f
799890570001977TAVG   40  f  100  f  -30  f  -90  f -490  f -500  f -840  f -790  f -740  f -320  f  -70  f  -10  f
799890570001978TAVG  140  f  190  f  -80  f  -50  f -140  f -490  f-1110  f -860  f -370  f -250  f -160  f   40  f
